Date,SKUCode,NetSales,OrderQty,SKUName,Category,MainChannel
01-01-2025,SKU-001,35.95,13,Almond Croissant,Food,ShopeeFood
01-02-2025,SKU-001,20.24,9,Almond Croissant,Food,In-Store
01-03-2025,SKU-001,40.48,12,Almond Croissant,Food,In-Store
01-11-2024,SKU-001,36.8,10,Almond Croissant,Food,In-Store
01-12-2024,SKU-001,28.54,8,Almond Croissant,Food,In-Store
02-01-2025,SKU-001,63.89,20,Almond Croissant,Food,ShopeeFood
02-02-2025,SKU-001,39.58,14,Almond Croissant,Food,In-Store
02-03-2025,SKU-001,20.24,8,Almond Croissant,Food,In-Store
02-11-2024,SKU-001,30.55,8,Almond Croissant,Food,In-Store
02-12-2024,SKU-001,48.78,14,Almond Croissant,Food,In-Store
03-01-2025,SKU-001,43.26,15,Almond Croissant,Food,In-Store
03-02-2025,SKU-001,59.82,21,Almond Croissant,Food,In-Store
03-03-2025,SKU-001,64.4,21,Almond Croissant,Food,In-Store
03-11-2024,SKU-001,38.68,11,Almond Croissant,Food,In-Store
03-12-2024,SKU-001,75.14,21,Almond Croissant,Food,In-Store
04-01-2025,SKU-001,25.76,10,Almond Croissant,Food,In-Store
04-02-2025,SKU-001,71.8,24,Almond Croissant,Food,ShopeeFood
04-03-2025,SKU-001,38.69,15,Almond Croissant,Food,In-Store
04-11-2024,SKU-001,50.62,16,Almond Croissant,Food,In-Store
04-12-2024,SKU-001,86.2,27,Almond Croissant,Food,In-Store
05-01-2025,SKU-001,14.72,5,Almond Croissant,Food,In-Store
05-02-2025,SKU-001,75.44,25,Almond Croissant,Food,In-Store
05-03-2025,SKU-001,47.84,15,Almond Croissant,Food,In-Store
05-11-2024,SKU-001,46.94,15,Almond Croissant,Food,In-Store
05-12-2024,SKU-001,84.25,26,Almond Croissant,Food,ShopeeFood
06-01-2025,SKU-001,49.68,18,Almond Croissant,Food,In-Store
06-02-2025,SKU-001,87.42,29,Almond Croissant,Food,In-Store
06-03-2025,SKU-001,62.56,22,Almond Croissant,Food,In-Store
06-11-2024,SKU-001,59.19,18,Almond Croissant,Food,In-Store
06-12-2024,SKU-001,82.21,27,Almond Croissant,Food,In-Store
07-01-2025,SKU-001,14.72,8,Almond Croissant,Food,In-Store
07-02-2025,SKU-001,60.96,22,Almond Croissant,Food,In-Store
07-03-2025,SKU-001,92.1,30,Almond Croissant,Food,In-Store
07-11-2024,SKU-001,37.48,10,Almond Croissant,Food,In-Store
07-12-2024,SKU-001,45.22,16,Almond Croissant,Food,In-Store
08-01-2025,SKU-001,38.64,12,Almond Croissant,Food,In-Store
08-02-2025,SKU-001,66.33,20,Almond Croissant,Food,In-Store
08-03-2025,SKU-001,27.6,8,Almond Croissant,Food,In-Store
08-11-2024,SKU-001,44.16,13,Almond Croissant,Food,In-Store
08-12-2024,SKU-001,51.78,16,Almond Croissant,Food,In-Store
09-01-2025,SKU-001,49.72,14,Almond Croissant,Food,In-Store
09-02-2025,SKU-001,43.26,17,Almond Croissant,Food,In-Store
09-03-2025,SKU-001,20.24,6,Almond Croissant,Food,In-Store
09-11-2024,SKU-001,61.68,16,Almond Croissant,Food,In-Store
09-12-2024,SKU-001,58.07,22,Almond Croissant,Food,In-Store
10-01-2025,SKU-001,53.36,15,Almond Croissant,Food,In-Store
10-02-2025,SKU-001,81.0,27,Almond Croissant,Food,In-Store
10-03-2025,SKU-001,61.81,22,Almond Croissant,Food,In-Store
10-11-2024,SKU-001,28.68,8,Almond Croissant,Food,In-Store
10-12-2024,SKU-001,89.87,27,Almond Croissant,Food,In-Store
11-01-2025,SKU-001,31.28,9,Almond Croissant,Food,In-Store
11-02-2025,SKU-001,42.36,15,Almond Croissant,Food,In-Store
11-03-2025,SKU-001,40.52,12,Almond Croissant,Food,In-Store
11-11-2024,SKU-001,32.39,9,Almond Croissant,Food,In-Store
11-12-2024,SKU-001,72.21,22,Almond Croissant,Food,ShopeeFood
12-01-2025,SKU-001,32.22,9,Almond Croissant,Food,In-Store
12-02-2025,SKU-001,77.32,24,Almond Croissant,Food,In-Store
12-03-2025,SKU-001,62.56,23,Almond Croissant,Food,In-Store
12-11-2024,SKU-001,43.26,13,Almond Croissant,Food,In-Store
12-12-2024,SKU-001,73.96,26,Almond Croissant,Food,In-Store
13-01-2025,SKU-001,57.08,19,Almond Croissant,Food,In-Store
13-02-2025,SKU-001,94.78,31,Almond Croissant,Food,In-Store
13-03-2025,SKU-001,67.18,23,Almond Croissant,Food,In-Store
13-11-2024,SKU-001,47.53,14,Almond Croissant,Food,In-Store
13-12-2024,SKU-001,66.8,19,Almond Croissant,Food,In-Store
14-01-2025,SKU-001,56.93,17,Almond Croissant,Food,In-Store
14-02-2025,SKU-001,89.95,26,Almond Croissant,Food,In-Store
14-03-2025,SKU-001,57.04,25,Almond Croissant,Food,In-Store
14-11-2024,SKU-001,47.78,14,Almond Croissant,Food,ShopeeFood
14-12-2024,SKU-001,45.1,14,Almond Croissant,Food,In-Store
15-01-2025,SKU-001,49.68,15,Almond Croissant,Food,In-Store
15-02-2025,SKU-001,42.32,14,Almond Croissant,Food,In-Store
15-03-2025,SKU-001,15.66,7,Almond Croissant,Food,In-Store
15-11-2024,SKU-001,41.55,11,Almond Croissant,Food,In-Store
15-12-2024,SKU-001,55.05,17,Almond Croissant,Food,In-Store
16-01-2025,SKU-001,37.17,13,Almond Croissant,Food,ShopeeFood
16-02-2025,SKU-001,31.28,12,Almond Croissant,Food,In-Store
16-03-2025,SKU-001,19.34,7,Almond Croissant,Food,In-Store
16-11-2024,SKU-001,15.66,4,Almond Croissant,Food,In-Store
16-12-2024,SKU-001,63.5,20,Almond Croissant,Food,In-Store
17-01-2025,SKU-001,54.77,21,Almond Croissant,Food,In-Store
17-02-2025,SKU-001,88.05,29,Almond Croissant,Food,In-Store
17-03-2025,SKU-001,66.75,27,Almond Croissant,Food,In-Store
17-11-2024,SKU-001,21.18,6,Almond Croissant,Food,In-Store
17-12-2024,SKU-001,75.59,21,Almond Croissant,Food,In-Store
18-01-2025,SKU-001,25.76,7,Almond Croissant,Food,In-Store
18-02-2025,SKU-001,62.56,22,Almond Croissant,Food,In-Store
18-03-2025,SKU-001,9.2,5,Almond Croissant,Food,In-Store
18-11-2024,SKU-001,59.7,19,Almond Croissant,Food,In-Store
18-12-2024,SKU-001,61.24,22,Almond Croissant,Food,In-Store
19-01-2025,SKU-001,20.24,7,Almond Croissant,Food,In-Store
