Date,LocCode,NetSales,LocName,Category
01-08-2024,JAY-SEL-014,880.2,Koppiku Jaya One,Mall
02-08-2024,JAY-SEL-014,939.8,Koppiku Jaya One,Mall
03-08-2024,JAY-SEL-014,517.6,Koppiku Jaya One,Mall
04-08-2024,JAY-SEL-014,553.6,Koppiku Jaya One,Mall
05-08-2024,JAY-SEL-014,571.08,Koppiku Jaya One,Mall
06-08-2024,JAY-SEL-014,989.52,Koppiku Jaya One,Mall
07-08-2024,JAY-SEL-014,621.31,Koppiku Jaya One,Mall
08-08-2024,EVENTS-001,588.3,EVENTS 01,Events
08-08-2024,JAY-SEL-014,511.4,Koppiku Jaya One,Mall
09-08-2024,EVENTS-001,692.8,EVENTS 01,Events
09-08-2024,JAY-SEL-014,733.1,Koppiku Jaya One,Mall
10-08-2024,JAY-SEL-014,714.4,Koppiku Jaya One,Mall
11-08-2024,JAY-SEL-014,586.1,Koppiku Jaya One,Mall
12-08-2024,JAY-SEL-014,474.18,Koppiku Jaya One,Mall
13-08-2024,JAY-SEL-014,896.09,Koppiku Jaya One,Mall
13-08-2024,STH-SEL-025,321.3,Koppiku South City Plaza,Mall
14-08-2024,JAY-SEL-014,847.74,Koppiku Jaya One,Mall
14-08-2024,STH-SEL-025,719,Koppiku South City Plaza,Mall
15-08-2024,JAY-SEL-014,827.03,Koppiku Jaya One,Mall
15-08-2024,STH-SEL-025,417.6,Koppiku South City Plaza,Mall
16-08-2024,JAY-SEL-014,809.91,Koppiku Jaya One,Mall
16-08-2024,STH-SEL-025,593.4,Koppiku South City Plaza,Mall
17-08-2024,JAY-SEL-014,649.99,Koppiku Jaya One,Mall
17-08-2024,STH-SEL-025,296.4,Koppiku South City Plaza,Mall
18-08-2024,JAY-SEL-014,813.82,Koppiku Jaya One,Mall
18-08-2024,STH-SEL-025,73,Koppiku South City Plaza,Mall
19-08-2024,JAY-SEL-014,629.01,Koppiku Jaya One,Mall
19-08-2024,STH-SEL-025,503,Koppiku South City Plaza,Mall
20-08-2024,AMP-SEL-027,844.8,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
20-08-2024,JAY-SEL-014,572.9,Koppiku Jaya One,Mall
20-08-2024,STH-SEL-025,281.4,Koppiku South City Plaza,Mall
21-08-2024,AMP-SEL-027,812.2,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
21-08-2024,JAY-SEL-014,764.1,Koppiku Jaya One,Mall
21-08-2024,STH-SEL-025,337.2,Koppiku South City Plaza,Mall
21-08-2024,TAY-SEL-020,1072.8,Koppiku Taylors Lakeside,Education
22-08-2024,AMP-SEL-027,862.5,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
22-08-2024,BKP-KUL-018,120.4,Koppiku BHP Kepong,Transportation
22-08-2024,JAY-SEL-014,669.7,Koppiku Jaya One,Mall
22-08-2024,STH-SEL-025,302.1,Koppiku South City Plaza,Mall
22-08-2024,TAY-SEL-020,956.4,Koppiku Taylors Lakeside,Education
23-08-2024,AMP-SEL-027,1203,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
23-08-2024,BKP-KUL-018,190.4,Koppiku BHP Kepong,Transportation
23-08-2024,JAY-SEL-014,950.8,Koppiku Jaya One,Mall
23-08-2024,STH-SEL-025,240.9,Koppiku South City Plaza,Mall
23-08-2024,TAY-SEL-020,635.3,Koppiku Taylors Lakeside,Education
23-08-2024,UIA-KUL-021,1311.2,Koppiku International Islamic University Malaysia,Education
24-08-2024,AMP-SEL-027,2329.8,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
24-08-2024,BKP-KUL-018,349.4,Koppiku BHP Kepong,Transportation
24-08-2024,JAY-SEL-014,655.2,Koppiku Jaya One,Mall
24-08-2024,STH-SEL-025,319.4,Koppiku South City Plaza,Mall
24-08-2024,TAY-SEL-020,452.7,Koppiku Taylors Lakeside,Education
24-08-2024,UIA-KUL-021,255.4,Koppiku International Islamic University Malaysia,Education
25-08-2024,AMP-SEL-027,1744,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
25-08-2024,BKP-KUL-018,181.9,Koppiku BHP Kepong,Transportation
25-08-2024,JAY-SEL-014,658.2,Koppiku Jaya One,Mall
25-08-2024,STH-SEL-025,244.6,Koppiku South City Plaza,Mall
25-08-2024,TAY-SEL-020,232.4,Koppiku Taylors Lakeside,Education
25-08-2024,UIA-KUL-021,232.9,Koppiku International Islamic University Malaysia,Education
26-08-2024,AMP-SEL-027,1268.8,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
26-08-2024,BKP-KUL-018,177,Koppiku BHP Kepong,Transportation
26-08-2024,JAY-SEL-014,747.99,Koppiku Jaya One,Mall
26-08-2024,STH-SEL-025,372.6,Koppiku South City Plaza,Mall
26-08-2024,TAY-SEL-020,1708.8,Koppiku Taylors Lakeside,Education
26-08-2024,UIA-KUL-021,1078.1,Koppiku International Islamic University Malaysia,Education
27-08-2024,AMP-SEL-027,808.4,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
27-08-2024,BKP-KUL-018,152.6,Koppiku BHP Kepong,Transportation
27-08-2024,JAY-SEL-014,800.9,Koppiku Jaya One,Mall
27-08-2024,STH-SEL-025,318.1,Koppiku South City Plaza,Mall
27-08-2024,TAY-SEL-020,1685.8,Koppiku Taylors Lakeside,Education
27-08-2024,UIA-KUL-021,2281.5,Koppiku International Islamic University Malaysia,Education
28-08-2024,AMP-SEL-027,1203.9,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
28-08-2024,BKP-KUL-018,180.8,Koppiku BHP Kepong,Transportation
28-08-2024,DM3-SEL-028,550.9,Koppiku Damansara 3,Mall
28-08-2024,JAY-SEL-014,647.7,Koppiku Jaya One,Mall
28-08-2024,STH-SEL-025,364.5,Koppiku South City Plaza,Mall
28-08-2024,TAY-SEL-020,1348.4,Koppiku Taylors Lakeside,Education
28-08-2024,UIA-KUL-021,2182.7,Koppiku International Islamic University Malaysia,Education
29-08-2024,AMP-SEL-027,1081.9,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
29-08-2024,ASA-SEL-017,673,Koppiku AEON Big Shah Alam,Mall
29-08-2024,BKP-KUL-018,109.7,Koppiku BHP Kepong,Transportation
29-08-2024,DM3-SEL-028,548.4,Koppiku Damansara 3,Mall
29-08-2024,JAY-SEL-014,626.8,Koppiku Jaya One,Mall
29-08-2024,STH-SEL-025,559.9,Koppiku South City Plaza,Mall
29-08-2024,TAY-SEL-020,1478,Koppiku Taylors Lakeside,Education
29-08-2024,UIA-KUL-021,1272,Koppiku International Islamic University Malaysia,Education
29-08-2024,VIV-KUL-023,458.4,Koppiku Vivo,Mall
30-08-2024,AMP-SEL-027,1276.5,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
30-08-2024,ASA-SEL-017,513,Koppiku AEON Big Shah Alam,Mall
30-08-2024,BKP-KUL-018,276,Koppiku BHP Kepong,Transportation
30-08-2024,DM3-SEL-028,409.2,Koppiku Damansara 3,Mall
30-08-2024,JAY-SEL-014,450.6,Koppiku Jaya One,Mall
30-08-2024,LBR-KUL-CO-009,159.8,Koppiku Liberal Latte,Commercial
30-08-2024,STH-SEL-025,488.4,Koppiku South City Plaza,Mall
30-08-2024,TAY-SEL-020,1160.9,Koppiku Taylors Lakeside,Education
30-08-2024,UIA-KUL-021,1078.3,Koppiku International Islamic University Malaysia,Education
30-08-2024,VIV-KUL-023,496.2,Koppiku Vivo,Mall
31-08-2024,AMP-SEL-027,1599.6,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
31-08-2024,ASA-SEL-017,1030.4,Koppiku AEON Big Shah Alam,Mall
31-08-2024,BKP-KUL-018,185.1,Koppiku BHP Kepong,Transportation
31-08-2024,DM3-SEL-028,420.4,Koppiku Damansara 3,Mall
31-08-2024,JAY-SEL-014,547.4,Koppiku Jaya One,Mall
31-08-2024,LBR-KUL-CO-009,111,Koppiku Liberal Latte,Commercial
31-08-2024,STH-SEL-025,223.3,Koppiku South City Plaza,Mall
31-08-2024,TAY-SEL-020,216.7,Koppiku Taylors Lakeside,Education
31-08-2024,UIA-KUL-021,77.9,Koppiku International Islamic University Malaysia,Education
31-08-2024,VIV-KUL-023,101.9,Koppiku Vivo,Mall
01-09-2024,AMP-SEL-027,1814.4,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
01-09-2024,ASA-SEL-017,1237.6,Koppiku AEON Big Shah Alam,Mall
01-09-2024,BKP-KUL-018,142.1,Koppiku BHP Kepong,Transportation
01-09-2024,DM3-SEL-028,688.5,Koppiku Damansara 3,Mall
01-09-2024,JAY-SEL-014,637.4,Koppiku Jaya One,Mall
01-09-2024,STH-SEL-025,199.4,Koppiku South City Plaza,Mall
01-09-2024,TAY-SEL-020,247.5,Koppiku Taylors Lakeside,Education
01-09-2024,UIA-KUL-021,228.1,Koppiku International Islamic University Malaysia,Education
01-09-2024,VIV-KUL-023,58.8,Koppiku Vivo,Mall
02-09-2024,AMP-SEL-027,713,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
02-09-2024,ASA-SEL-017,588.1,Koppiku AEON Big Shah Alam,Mall
02-09-2024,BKP-KUL-018,92.6,Koppiku BHP Kepong,Transportation
02-09-2024,DM3-SEL-028,464.1,Koppiku Damansara 3,Mall
02-09-2024,JAY-SEL-014,675.87,Koppiku Jaya One,Mall
02-09-2024,LBR-KUL-CO-009,252.8,Koppiku Liberal Latte,Commercial
02-09-2024,STH-SEL-025,430.1,Koppiku South City Plaza,Mall
02-09-2024,TAY-SEL-020,1801.3,Koppiku Taylors Lakeside,Education
02-09-2024,UIA-KUL-021,827.9,Koppiku International Islamic University Malaysia,Education
02-09-2024,VIV-KUL-023,380.9,Koppiku Vivo,Mall
03-09-2024,AMP-SEL-027,532.2,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
03-09-2024,ASA-SEL-017,775.6,Koppiku AEON Big Shah Alam,Mall
03-09-2024,BKP-KUL-018,111.8,Koppiku BHP Kepong,Transportation
03-09-2024,DM3-SEL-028,499.3,Koppiku Damansara 3,Mall
03-09-2024,JAY-SEL-014,1052.83,Koppiku Jaya One,Mall
